speaker	speech
El señor MONTESINOS TORRES.—	 Por eso el proyecto se va a (?) y la gente que está ahí va a vender sus propiedades, va a poder trabajar (?) irse a otro sitio con un capital, ¿no? (?) muy claro (?) Va a traer desarrollo no solamente a la zona circundante, sino (?) un poco paupérrima y deprimida, digamos, (?) Ahora, por ejemplo, cómo va a quedar la parte (?) los árboles, todas esas cosas, es una (?)
"El señor		.—"	 Y además, doctor, (?) en los últimos 10 años.
El señor MONTESINOS TORRES.—	 No (?)
"El señor		.—"	 Y vamos a tener (?)
El señor MONTESINOS TORRES.—	 Por supuesto, porque (?) un espejo (?)
"El señor		.—"	 (?) una cosa que hemos visto (?)
El señor MONTESINOS TORRES.—	 Va a ser el espejo de vidrio. Entonces, yo quiero que se lleve su resolución favorable (?)
"El señor		.—"	 La verdad es que (?)
El señor MONTESINOS TORRES.—	 Bueno, lo voy a terminar (?)
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 No, no, yo quiero que usted se lleve su resolución ahora (?) (4)
"El señor		.—"	 Muchas gracias.
El señor MONTESINOS.—	 Esta es la presente (?) donde (?) ... A usted le interesa la parte final, confirmada, confirmada; o sea que confirman (?) que declaran fundada (?) que suspende (?) y autoriza la continuación (?) la construcción, haga uso de (?) mientras están llegando (?) para que no esté volando (?)
"El señor		.—"	 (?)
El señor MONTESINOS.—	 (?) todo eso falta.
"El señor		.—"	 (?)
El señor MONTESINOS.—	 (?)
"El señor		.—"	 Ah, ya.
El señor MONTESINOS.—	 En la Embajada hubo un muerto (?) y el rehén que murió, que murió también en el Hospital Militar, de un infarto, pero murió, la operación fue a las 3 de la tarde por 9 y (?) de la noche (?) lamentablemente (?) el que le otorga.
"El señor		.—"	 En este caso Doctor (?) (5)
El señor MONTESINOS.—	 Ahí tiene usted (?) ya está firmada por el juez, ya está firmada por el juez, ya eso, hoy día en la noche se publicará el número (?) en vista de que ya pueda usted continuar (?) con esto porque el lunes (?)
"El señor		.—"	 Muchas gracias, Doctor.
El señor MONTESINOS.—	 (?) yo soy consciente (?) la ventaja es de que esta gente (?) (6) y por tanto (?) con Dionisio Romero que (?) ya no encuentra usted nada concreto (?) pudiera igualar con el tiempo. Ahora (?) pero ya no puedes hacer nada concreto (?)  En la medida cautelar como salió positiva (?) estaba pendiente de solución, entonces hoy día (?) podemos a eso decir ya, acá terminó, terminó la cautelar y usted puede la continuación de las obras (?) Y ahora ¿Qué es lo que (?) de Andrade lo único que le queda esa sentencia (?) que han apelado está pendiente y esta la vamos a  (?) en marzo los 10 primeros días de abril que me confirman lo que venimos ganando y, por lo tanto, no sorprendió (?) 20 días adelante (?) porque yo traía (?) Con peros y adelante siga usted la continuación de la obra, el lunes o martes usted me arranca y yo paso por ahí (?) si no viene yo te paso por ahí (?) ha estado en el área y antes de que se vaya usted le voy a llevar 10 minutos para que conozca usted el local (?)
"El señor		.—"	 Con el mayor gusto
El señor MONTESINOS TORRES.—	 Vamos en el (?) de que no tenga (?)
"El señor		.—"	 ¿Puedo dejar esto?
El señor MONTESINOS TORRES.—	 Deje ahí todo.
"El señor		.—"	 ¿O lo bajo?
El señor MONTESINOS TORES.—	 Si usted quiere baje para que lo deje en el carro.
"El señor		.—"	 No hay problema.
El señor MONTESINOS TORRES.—	 No.
"El señor		.—"	 No le quito más tiempo, (7) porque ya he abusado de su tiempo.
El señor MONTESINOS TORRES.—	 Cualquier cosa yo me voy a (?) ese mismo día.
"El señor		.—"	 Lógico (?)
El señor MONTESINOS TORRES.—	 Así es que, para cualquier cosa, yo le doy una llamadita o usted me da una llamadita, usted siempre tiene acá a un amigo, no, yo le voy a decir (?) mantenga una conducta en la (?) el señor Jorge Camet para que converse con usted, y a la única persona que sabe de esto (?) porque nadie debe saber esto, debe quedar entre nosotros, (?) así debe ser.
"El señor		.—"	 Okey. 
El señor MONTESINOS TORRES.—	 Secreto es de dos, de tres ya no es secreto (?) No se preocupe tiene un amigo acá en el Perú y cuando vaya a Santiago, en cualquier momento me da una llamadita (?) En mí tiene usted un amigo (?) en un día, dos días, un trabajo de cinco horas, así es; muy bien.
"El señor		.—"	 Muchas gracias. (Ambos se retiran de la sala).
Background	—Fin del Vídeo N.° 856. —Transcripción: martes 29 de mayo de 2001. —Revisado: jueves 31 de mayo de 2001.
