topic,emotion,mean
"media, ivcher",Joy,0.1531592720625
"media, ivcher",None of them,0.6244729899046512
"media, ivcher",Pride,0.2884364273076923
"media, ivcher",Sadness,0.11242056617241379
"media, public_officials, state_capture",Anger,0.1344205112838384
"media, public_officials, state_capture",Enthusiasm,0.06567785274268292
"media, public_officials, state_capture",Fear,0.20907690066666668
"media, public_officials, state_capture",Hope,0.0651002264015625
"media, public_officials, state_capture",Joy,0.1173807800625
"media, public_officials, state_capture",None of them,0.765045945
"media, public_officials, state_capture",Pride,0.1386771145095238
"media, public_officials, state_capture",Sadness,0.029736947649999998
"media, safety",Anger,0.2082060205815857
"media, safety",Disgust,0.19368222285714287
"media, safety",Enthusiasm,0.06785164553852041
"media, safety",Fear,0.20889969388135593
"media, safety",Hope,0.08576399088338871
"media, safety",Joy,0.13241287948304348
"media, safety",None of them,0.6575242904317647
"media, safety",Pride,0.1795604063726415
"media, safety",Sadness,0.14377328059192546
"media, state_capture",Anger,0.13304344053252032
"media, state_capture",Disgust,0.18915777666666667
"media, state_capture",Enthusiasm,0.05660144998837209
"media, state_capture",Fear,0.05405119524
"media, state_capture",Hope,0.06356838682523365
"media, state_capture",Joy,0.08989193918181818
"media, state_capture",None of them,0.767365737092511
"media, state_capture",Pride,0.14110552323076922
"media, state_capture",Sadness,0.10079073835714286
"media, wiese, public_officials",Anger,0.19853593027407407
"media, wiese, public_officials",Disgust,0.1086557908888889
"media, wiese, public_officials",Enthusiasm,0.06623970578037974
"media, wiese, public_officials",Fear,0.11893101128888889
"media, wiese, public_officials",Hope,0.08600427875241379
"media, wiese, public_officials",Joy,0.12115698496153847
"media, wiese, public_officials",None of them,0.6953211051301059
"media, wiese, public_officials",Pride,0.12955831046037736
"media, wiese, public_officials",Sadness,0.08149367606203704
"media, wiese, state_capture",Anger,0.21364847006338028
"media, wiese, state_capture",Disgust,0.08134865127272728
"media, wiese, state_capture",Enthusiasm,0.7391619350406091
"media, wiese, state_capture",Fear,0.067719974132
"media, wiese, state_capture",Hope,0.050572224109375
"media, wiese, state_capture",Joy,0.1155949559
"media, wiese, state_capture",None of Them,0.1382673971153846
"media, wiese, state_capture",Pride,0.05245180978571429
"media, wiese, state_capture",Sadness,0.05362124559375
miraflores,Anger,0.27202896191341175
miraflores,Disgust,0.18904682506666667
miraflores,Enthusiasm,0.45115429747341773
miraflores,Fear,0.213777047125
miraflores,Hope,0.11937182287157895
miraflores,Joy,0.19763279567707007
miraflores,None of Them,0.13179375781132074
miraflores,None of them,0.5383822505905109
miraflores,Pride,0.16793414034497206
miraflores,Sadness,0.10911399748648648
"miraflores, canal4",Anger,0.2179905191
"miraflores, canal4",Disgust,0.2362191725
"miraflores, canal4",Enthusiasm,0.6410547278655779
"miraflores, canal4",Fear,0.17524348884444443
"miraflores, canal4",Hope,0.10787648868278689
"miraflores, canal4",Joy,0.21061850718392858
"miraflores, canal4",None of Them,0.13179375781132074
"miraflores, canal4",Pride,0.1299137248299578
"miraflores, canal4",Sadness,0.09275482320588235
municipal98,Anger,0.22270483678584796
municipal98,Disgust,0.12922742304166665
municipal98,Enthusiasm,0.6501175758881728
municipal98,Fear,0.14764484971149425
municipal98,Hope,0.07823190157652533
municipal98,Joy,0.13439214000869565
municipal98,None of Them,0.14412254919195402
municipal98,None of them,0.5980564573067093
municipal98,Pride,0.0811165757171831
municipal98,Sadness,0.10660124635714285
"municipal98, canal4, media",Anger,0.3193742043292683
"municipal98, canal4, media",Disgust,0.151519138375
"municipal98, canal4, media",Enthusiasm,0.11465010173133333
"municipal98, canal4, media",Fear,0.074107366625
"municipal98, canal4, media",Hope,0.11522786264383561
"municipal98, canal4, media",Joy,0.18198036471311474
"municipal98, canal4, media",None of them,0.5980564573067093
"municipal98, canal4, media",Pride,0.13833702939189188
"municipal98, canal4, media",Sadness,0.05484540725
"municipal98, media",Anger,0.15698994475054545
"municipal98, media",Disgust,0.235623627
"municipal98, media",Enthusiasm,0.7345649997784689
"municipal98, media",Fear,0.15569085699642857
"municipal98, media",Hope,0.07498505319525066
"municipal98, media",Joy,0.11017912298030302
"municipal98, media",None of Them,0.14769689007307693
"municipal98, media",Pride,0.0743366667258567
"municipal98, media",Sadness,0.1243658966884058
promotions,Anger,0.21024632288436945
promotions,Disgust,0.12878550392592594
promotions,Enthusiasm,0.2053017938340782
promotions,Fear,0.16378779876
promotions,Hope,0.11356826734103367
promotions,Joy,0.20321969220330097
promotions,None of Them,0.11392019408750001
promotions,None of them,0.6284730476145096
promotions,Pride,0.15712329732964603
promotions,Sadness,0.0996093743970238
"promotions, foreign, public_officials",Anger,0.20438780916870228
"promotions, foreign, public_officials",Disgust,0.206745991125
"promotions, foreign, public_officials",Enthusiasm,0.07727004540539419
"promotions, foreign, public_officials",Fear,0.14736770679310346
"promotions, foreign, public_officials",Hope,0.09294000554285714
"promotions, foreign, public_officials",Joy,0.17810932678380953
"promotions, foreign, public_officials",None of them,0.6613033983174603
"promotions, foreign, public_officials",Pride,0.1528078923432836
"promotions, foreign, public_officials",Sadness,0.12169792722
public_officials,Anger,0.2117397052961039
public_officials,Disgust,0.15337503671875
public_officials,Enthusiasm,0.3011088474129438
public_officials,Fear,0.13989696603508772
public_officials,Hope,0.08147079579520737
public_officials,Joy,0.14289388511551313
public_officials,None of Them,0.128232398603125
public_officials,None of them,0.6768912786211765
public_officials,Pride,0.1126985405498943
public_officials,Sadness,0.08918237814907408
"public_officials, safety, state_capture",Anger,0.1982589354326923
"public_officials, safety, state_capture",Enthusiasm,0.7675775228346456
"public_officials, safety, state_capture",Fear,0.16627146075000002
"public_officials, safety, state_capture",Hope,0.0448293250952381
"public_officials, safety, state_capture",Joy,0.08900982861904762
"public_officials, safety, state_capture",None of Them,0.09284124142857143
"public_officials, safety, state_capture",Pride,0.05241467061369863
"public_officials, safety, state_capture",Sadness,0.048577482923076926
reelection,Anger,0.2872989495059195
reelection,Disgust,0.09531441341972477
reelection,Enthusiasm,0.4123041964034573
reelection,Fear,0.15951664780429253
reelection,Hope,0.11134716015932439
reelection,Joy,0.1753939690151594
reelection,None of Them,0.19226648355982143
reelection,None of them,0.6199674681974645
reelection,Pride,0.12917348335811002
reelection,Sadness,0.08260749662145046
"reelection, canal4, media, public_officials",Anger,0.24267668500625
"reelection, canal4, media, public_officials",Disgust,0.1651459185
"reelection, canal4, media, public_officials",Enthusiasm,0.7269689633552632
"reelection, canal4, media, public_officials",Fear,0.016270556
"reelection, canal4, media, public_officials",Hope,0.06420722063714286
"reelection, canal4, media, public_officials",Joy,0.14854533524242425
"reelection, canal4, media, public_officials",None of Them,0.13442576780526316
"reelection, canal4, media, public_officials",Pride,0.06828696403561643
"reelection, canal4, media, public_officials",Sadness,0.04688606085
"reelection, media",Anger,0.28731051563542603
"reelection, media",Disgust,0.13616067333333334
"reelection, media",Enthusiasm,0.1185177244129717
"reelection, media",Fear,0.21176510025
"reelection, media",Hope,0.12878847852915662
"reelection, media",Joy,0.1558528596
"reelection, media",None of them,0.5842071305478723
"reelection, media",Pride,0.24108748369430893
"reelection, media",Sadness,0.07508784740853658
"reelection, media, ivcher",Anger,0.24900715557663552
"reelection, media, ivcher",Enthusiasm,0.10185645127857143
"reelection, media, ivcher",Fear,0.16173567304347825
"reelection, media, ivcher",Hope,0.1278273837025
"reelection, media, ivcher",Joy,0.19430342944883722
"reelection, media, ivcher",None of them,0.6079019639003984
"reelection, media, ivcher",Pride,0.178334464828125
"reelection, media, ivcher",Sadness,0.093779679625
"reelection, media, public_officials",Anger,0.22437889725000001
"reelection, media, public_officials",Disgust,0.1964754465
"reelection, media, public_officials",Enthusiasm,0.07849730565671642
"reelection, media, public_officials",Fear,0.22010809666666667
"reelection, media, public_officials",Hope,0.06597723357446808
"reelection, media, public_officials",Joy,0.2057282001764706
"reelection, media, public_officials",None of them,0.690782505827957
"reelection, media, public_officials",Pride,0.16758534473333334
"reelection, media, public_officials",Sadness,0.18287760655555557
"reelection, media, state_capture",Anger,0.16455669536589862
"reelection, media, state_capture",Disgust,0.036146607
