Chronological order	Codigo	Fecha de exhibición	Fecha de recepción	Fecha del evento	Tipo de información	Titulo	Read?	Duplicates?	In book? (Y / N)	If yes: Tomo/Chapter	Moved to modified transcript folder?			
71	1372	4/6/01	4/4/01	3/13/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.11	X			
72	1373	4/6/01	4/4/01	3/13/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.11	X			
73	1371	4/6/01	4/4/01	3/13/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.11	X			
74	1368	4/6/01	4/4/01	3/13/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.11	X			
75	1370	4/6/01	4/4/01	3/13/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.11	X			
76	1369	4/6/01	4/4/01	3/13/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.11	X			
77	1424	4/6/01	4/4/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	x	1410-1431	Y	6/ 10.12	X			
78	1425	4/6/01	4/4/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
79	1423	4/6/01	4/4/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
80	1422	4/6/01	4/4/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
81	1427	4/6/01	4/4/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
82	1431	4/6/01	4/4/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
83	1426	4/6/01	4/4/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
84	1428	4/6/01	4/4/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
85	1429	4/6/01	4/4/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
86	1430	4/6/01	4/4/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
87	1414	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
